root /root
daemon /usr/sbin
bin /bin
sys /dev
sync /bin
games /usr/games
man /var/cache/man
lp /var/spool/lpd
mail /var/mail
news /var/spool/news
uucp /var/spool/uucp
proxy /bin
www-data /var/www
backup /var/backups
list /var/list
irc /run/ircd
gnats /var/lib/gnats
nobody /nonexistent
systemd-network /run/systemd
systemd-resolve /run/systemd
messagebus /nonexistent
systemd-timesync /run/systemd
syslog /home/syslog
_apt /nonexistent
tss /var/lib/tpm
uuidd /run/uuidd
systemd-oom /run/systemd
tcpdump /nonexistent
avahi-autoipd /var/lib/avahi-autoipd
usbmux /var/lib/usbmux
dnsmasq /var/lib/misc
kernoops /
avahi /run/avahi-daemon
cups-pk-helper /home/cups-pk-helper
rtkit /proc
whoopsie /nonexistent
sssd /var/lib/sss
speech-dispatcher /run/speech-dispatcher
fwupd-refresh /run/systemd
nm-openvpn /var/lib/openvpn/chroot
saned /var/lib/saned
colord /var/lib/colord
geoclue /var/lib/geoclue
pulse /run/pulse
gnome-initial-setup /run/gnome-initial-setup/
hplip /run/hplip
gdm /var/lib/gdm3
ivan11 /home/ivan11
sshd /run/sshd
peru /home/peru
